species	scope	record_type	comparator	orthogroups	positive_cells	negative_cells	auroc	average_precision	smd	auroc_lower_95	auroc_upper_95	interval_type	source_path	source_sha256	authority_version	random_programs	random_auc_median	random_auc_q95	empirical_p	note	estimand	estimate	lower_95	upper_95	bootstrap_n
sir	R1	method	equal_weight		106	9694	0.907766328909927	0.610553753874211	1.79665660619463				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	9bb6a7d91aafe6ec9af08ac4722e4111424b653c44443467524b0757b2c30a13;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1										
sir	R2	method	equal_weight		118	7981	0.941014570622177	0.728698071314271	2.25014093043962				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	9bb6a7d91aafe6ec9af08ac4722e4111424b653c44443467524b0757b2c30a13;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1										
esa	pooled	random_null	random_program_null										internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	ddbf41e4f41ca573baab5f53a53116731b614001fe040794f77e9d97df499447;b056d36388c903f1e1d26b5ed5b9d03dfd3bd2f04651affef3608f070da01b90	gse268881_root_xylem_validation_v1_1	500	0.49771069377619104	0.5772743302212301	0.00199600798403194	Median and q95 recomputed from 500 frozen draws using R-compatible type-7 quantiles					
esa	pooled	paired_difference	complete_minus_single									conditional_stratified_cell_bootstrap_percentile	internal_source_record:not_publicly_portable	e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_uncertainty_v1						delta_auc	0.0360656765243138	0.0166474684809991	0.0565799496173545	2000
esa	pooled	paired_difference	complete_minus_single									conditional_stratified_cell_bootstrap_percentile	internal_source_record:not_publicly_portable	e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_uncertainty_v1						delta_ap	-0.0213620881136578	-0.060394348574666	0.0166000427762016	2000
esa	pooled	paired_difference	complete_minus_single									conditional_stratified_cell_bootstrap_percentile	internal_source_record:not_publicly_portable	e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_uncertainty_v1						delta_smd	0.113218579114807	0.0202917495795764	0.21084875299014	2000
esa	R1	paired_difference	complete_minus_single									conditional_stratified_cell_bootstrap_percentile	internal_source_record:not_publicly_portable	e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_uncertainty_v1						delta_auc	0.0456770201542451	0.0168792637190202	0.0787789487741634	2000
esa	R1	paired_difference	complete_minus_single									conditional_stratified_cell_bootstrap_percentile	internal_source_record:not_publicly_portable	e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_uncertainty_v1						delta_ap	-0.0309282076537567	-0.0908471931122688	0.0292144913430246	2000
esa	R1	paired_difference	complete_minus_single									conditional_stratified_cell_bootstrap_percentile	internal_source_record:not_publicly_portable	e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_uncertainty_v1						delta_smd	0.127787802046626	-0.0103051268576685	0.271144057663143	2000
esa	R2	paired_difference	complete_minus_single									conditional_stratified_cell_bootstrap_percentile	internal_source_record:not_publicly_portable	e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_uncertainty_v1						delta_auc	0.0258179080854678	0.00477415442619364	0.0501067542962292	2000
esa	R2	paired_difference	complete_minus_single									conditional_stratified_cell_bootstrap_percentile	internal_source_record:not_publicly_portable	e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_uncertainty_v1						delta_ap	-0.00939512425711431	-0.06117368954345	0.0457198698075439	2000
esa	R2	paired_difference	complete_minus_single									conditional_stratified_cell_bootstrap_percentile	internal_source_record:not_publicly_portable	e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_uncertainty_v1						delta_smd	0.116244274311592	-0.0162946776453892	0.286894786926698	2000
sir	pooled	random_null	random_program_null										internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	ddbf41e4f41ca573baab5f53a53116731b614001fe040794f77e9d97df499447;b056d36388c903f1e1d26b5ed5b9d03dfd3bd2f04651affef3608f070da01b90	gse268881_root_xylem_validation_v1_1	500	0.49855879975752704	0.6023192122145886	0.00199600798403194	Median and q95 recomputed from 500 frozen draws using R-compatible type-7 quantiles					
sir	pooled	paired_difference	complete_minus_single									conditional_stratified_cell_bootstrap_percentile	internal_source_record:not_publicly_portable	e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_uncertainty_v1						delta_auc	-0.00578349161446756	-0.0149146260608204	0.00415010608203679	2000
sir	pooled	paired_difference	complete_minus_single									conditional_stratified_cell_bootstrap_percentile	internal_source_record:not_publicly_portable	e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_uncertainty_v1						delta_ap	-0.0427996412909959	-0.0709598250101498	-0.0164345448516589	2000
sir	pooled	paired_difference	complete_minus_single									conditional_stratified_cell_bootstrap_percentile	internal_source_record:not_publicly_portable	e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_uncertainty_v1						delta_smd	0.0434939994239283	-0.0112319139261428	0.108969228645484	2000
sir	R1	paired_difference	complete_minus_single									conditional_stratified_cell_bootstrap_percentile	internal_source_record:not_publicly_portable	e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_uncertainty_v1						delta_auc	0.00215850302268283	-0.0126488106823516	0.0181798165369748	2000
sir	R1	paired_difference	complete_minus_single									conditional_stratified_cell_bootstrap_percentile	internal_source_record:not_publicly_portable	e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_uncertainty_v1						delta_ap	-0.0384619375320583	-0.0821178626797314	0.00851623623497716	2000
sir	R1	paired_difference	complete_minus_single									conditional_stratified_cell_bootstrap_percentile	internal_source_record:not_publicly_portable	e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_uncertainty_v1						delta_smd	0.0418203678537805	-0.0392670770833816	0.132861193749316	2000
sir	R2	paired_difference	complete_minus_single									conditional_stratified_cell_bootstrap_percentile	internal_source_record:not_publicly_portable	e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_uncertainty_v1						delta_auc	-0.0137848576810603	-0.0223366300047358	-0.00430089258599341	2000
sir	R2	paired_difference	complete_minus_single									conditional_stratified_cell_bootstrap_percentile	internal_source_record:not_publicly_portable	e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_uncertainty_v1						delta_ap	-0.0399257635767707	-0.0727260932348078	-0.00910511862571473	2000
sir	R2	paired_difference	complete_minus_single									conditional_stratified_cell_bootstrap_percentile	internal_source_record:not_publicly_portable	e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_uncertainty_v1						delta_smd	0.0349222624903467	-0.0504103432172319	0.13821065206829	2000
