record_type	record_id	stage	metric	value	unit	source_path	source_sha256	authority_version	dataset_id	species	tissue	tissue_status	label_column	cells	labeled_cells	unknown_cells	unknown_fraction	readable	panel	candidate_label_count	labels_ge_100_cells	candidate_cells	panel_status	accepted	reason	workflow_order	description
dataset	Arabidopsis thaliana_PRJNA517021	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_PRJNA517021	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	12674	12674	0	0.0	True									
dataset	Arabidopsis thaliana_PRJNA551314	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_PRJNA551314	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	777	550	227	0.29214929214929214	True									
dataset	Arabidopsis thaliana_PRJNA577177	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_PRJNA577177	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	12492	10677	1815	0.1452929875120077	True									
dataset	Arabidopsis thaliana_PRJNA594539	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_PRJNA594539	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	15930	15930	0	0.0	True									
dataset	Arabidopsis thaliana_PRJNA605594	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_PRJNA605594	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	53461	36370	17091	0.31969098969342136	True									
dataset	Arabidopsis thaliana_PRJNA613684	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_PRJNA613684	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	16324	11508	4816	0.2950257289879931	True									
dataset	Arabidopsis thaliana_PRJNA640389	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_PRJNA640389	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	110427	110427	0	0.0	True									
dataset	Arabidopsis thaliana_PRJNA648028	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_PRJNA648028	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	25398	0	25398	1.0	True									
dataset	Arabidopsis thaliana_PRJNA649267	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_PRJNA649267	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	10990	10990	0	0.0	True									
dataset	Arabidopsis thaliana_PRJNA659737	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_PRJNA659737	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	5710	5344	366	0.06409807355516638	True									
dataset	Arabidopsis thaliana_PRJNA664874	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_PRJNA664874	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	1274	672	602	0.4725274725274725	True									
