dataset_id	h5ad_path	readable	file_bytes	n_cells	n_genes	observed_species	proposed_species	species_status	accession	observed_tissue	proposed_tissue	tissue_status	unknown_cells	unknown_fraction	expression_class	storage_kind	expression_dtype	source_expression_path	source_annotation_path	source_expression_sha256	source_annotation_sha256	schema_version
Arabidopsis thaliana_PRJNA605594	Arabidopsis thaliana_PRJNA605594.h5ad	True	867681837	53461	3969	Arabidopsis thaliana	Arabidopsis thaliana	recorded	PRJNA605594	not explicitly recorded		missing	17091	0.31969098969342136	scaled_continuous	dense	float32	Arabidopsis thaliana_PRJNA605594.csv	Arabidopsis thaliana_PRJNA605594.anno.csv	c2ce6d4267ca32fbfb19aa296ddd51c93e1870a223ea9c06d30f76fe1fc30daa	7886cc894700ce70b4b6177445aca02d1854266a9c83e982cd69ecbdc9f3531d	1.0.0
Arabidopsis thaliana_PRJNA613684	Arabidopsis thaliana_PRJNA613684.h5ad	True	156082073	16324	22124	Arabidopsis thaliana	Arabidopsis thaliana	recorded	PRJNA613684	not explicitly recorded		missing	4816	0.2950257289879931	nonnegative_integer_unverified	csr	int64	Arabidopsis thaliana_PRJNA613684.csv	Arabidopsis thaliana_PRJNA613684.anno.csv	139ce7239d9208b474a1e853ba1c280e349ed432cdb0d57f12b7da7337f4f499	8419d59c91135eaf06586e202062ebce425aa6319f31a73cf1759b228494305c	1.0.0
Arabidopsis thaliana_PRJNA640389	Arabidopsis thaliana_PRJNA640389.h5ad	True	8179201665	110427	17513	Arabidopsis thaliana	Arabidopsis thaliana	recorded	PRJNA640389	not explicitly recorded		missing	0	0.0	scaled_continuous	dense	float32	Arabidopsis thaliana_PRJNA640389.csv	Arabidopsis thaliana_PRJNA640389.anno.csv	4b12fedc90b1b48e8f9ddb63a0c6ceb8d6ec508ea96f070b8968e68a16c0e67a	07f9999c49eb8fc6c71afa11ef72fd3d3329134a8774c8e82956f637589d7eb0	1.0.0
Arabidopsis thaliana_PRJNA648028	Arabidopsis thaliana_PRJNA648028.h5ad	True	501313889	25398	4870	Arabidopsis thaliana	Arabidopsis thaliana	recorded	PRJNA648028	not explicitly recorded		missing	25398	1.0	scaled_continuous	dense	float32	Arabidopsis thaliana_PRJNA648028.csv	Arabidopsis thaliana_PRJNA648028.anno.csv	b3b07e3b26efd0d2df6ef618e249c749b6deae16837870367514a5aa6b9e09a1	0f31bb40568d12fc04757da3f77b7664af163e09b9985ba67dc1b9f8d06810e5	1.0.0
Arabidopsis thaliana_PRJNA649267	Arabidopsis thaliana_PRJNA649267.h5ad	True	86354164	10990	23260	Arabidopsis thaliana	Arabidopsis thaliana	recorded	PRJNA649267	not explicitly recorded		missing	0	0.0	nonnegative_integer_unverified	csr	int64	Arabidopsis thaliana_PRJNA649267.csv	Arabidopsis thaliana_PRJNA649267.anno.csv	6b98202092a0efeeb6e9566970818fad0a6a20c9de81f609f6611cabce76b630	01ed8a8bd04fc49f6aacc3c2f30faa993ecf5338d7432845b75a743b5873098d	1.0.0
Arabidopsis thaliana_PRJNA659737	Arabidopsis thaliana_PRJNA659737.h5ad	True	312583347	5710	23206	Arabidopsis thaliana	Arabidopsis thaliana	recorded	PRJNA659737	not explicitly recorded		missing	366	0.06409807355516638	scaled_continuous	dense	float32	Arabidopsis thaliana_PRJNA659737.csv	Arabidopsis thaliana_PRJNA659737.anno.csv	6c57dc43c10c9b5376ce2211100d3c8f02c082e1aff34cffe20954a2efd3013b	dccd70bd3c5d29995368870557620239e2fa5babb2ba708bb58b873196f7ae3e	1.0.0
Arabidopsis thaliana_PRJNA664874	Arabidopsis thaliana_PRJNA664874.h5ad	True	41004349	1274	19089	Arabidopsis thaliana	Arabidopsis thaliana	recorded	PRJNA664874	not explicitly recorded		missing	602	0.4725274725274725	scaled_continuous	dense	float32	Arabidopsis thaliana_PRJNA664874.csv	Arabidopsis thaliana_PRJNA664874.anno.csv	7788275e38572a1e79047d5e24ff18276ef81e4f1aa33069d7efe84570235dac	19bd114dec6034770d9c3021029978ce759d0139986bc3661415190e37644384	1.0.0
Arabidopsis thaliana_PRJNA666436	Arabidopsis thaliana_PRJNA666436.h5ad	True	118038016	18859	21262	Arabidopsis thaliana	Arabidopsis thaliana	recorded	PRJNA666436	not explicitly recorded		missing	0	0.0	nonnegative_integer_unverified	csr	int64	Arabidopsis thaliana_PRJNA666436.csv	Arabidopsis thaliana_PRJNA666436.anno.csv	a25d90a9203bfce764f00416068f0ba57386b7ffdac96d3b8427fd5b2a050c5f	4d488c29a75f03f8cb25e637c1bc05a400186aa43e456da2de71f7dd59b14f6e	1.0.0
Arabidopsis thaliana_PRJNA678377	Arabidopsis thaliana_PRJNA678377.h5ad	True	72215532	5328	3265	Arabidopsis thaliana	Arabidopsis thaliana	recorded	PRJNA678377	not explicitly recorded		missing	0	0.0	scaled_continuous	dense	float32	Arabidopsis thaliana_PRJNA678377.csv	Arabidopsis thaliana_PRJNA678377.anno.csv	9185614a66d8fe73c783d8a356e31f736ee4cc2b8b772b8c09f2b03373473634	8da4619f556e935a8a8a8443e772553953da7129650edce453b8d4ca424c6ce4	1.0.0
Arabidopsis thaliana_PRJNA680241	Arabidopsis thaliana_PRJNA680241.h5ad	True	10594766	345	24151	Arabidopsis thaliana	Arabidopsis thaliana	recorded	PRJNA680241	lateral root		recorded	210	0.6086956521739131	normalized_nonnegative_continuous	csr	float32	Arabidopsis thaliana_PRJNA680241.csv	Arabidopsis thaliana_PRJNA680241.anno.csv	b96065f29b50491aea6623d8c593ae69dd134ff3c14953d626ab141c09b0d4e0	8e2a9d741ca833454f084971e7b02ba8211ac2e3ac5a88ff96d9731dc340f966	1.0.0
