dataset_id	species	tissue	tissue_status	label_column	cells	labeled_cells	unknown_cells	unknown_fraction	readable	integrity_status	root_panel_status	root_accepted	root_reason	root_candidate_label_count	root_labels_ge_100_cells	root_candidate_cells	leaf_panel_status	leaf_accepted	leaf_reason	leaf_candidate_label_count	leaf_labels_ge_100_cells	leaf_candidate_cells	vascular_panel_status	vascular_accepted	vascular_reason	vascular_candidate_label_count	vascular_labels_ge_100_cells	vascular_candidate_cells	source_path	source_sha256	authority_version	direct_source_object_path	direct_source_object_sha256	gap_flags
Arabidopsis thaliana_PRJNA577177	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	12492	10677	1815	0.1452929875120077	True	readable	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	candidate_include	True	passes_provisional_panel_gates	3	3	5802	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	/data/datasets/Bioinformatics/audit_20260910/audit_datasets.csv;/workspace/projects/PhyloOpenCell/metadata/dataset_manifest.tsv	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1			direct_source_object_path_and_sha256_not_available_in_manuscript_evidence_v1
Arabidopsis thaliana_PRJNA594539	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	15930	15930	0	0.0	True	readable	candidate_include	True	passes_provisional_panel_gates	7	7	8799	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	candidate_include	True	passes_provisional_panel_gates	2	2	1775	/data/datasets/Bioinformatics/audit_20260910/audit_datasets.csv;/workspace/projects/PhyloOpenCell/metadata/dataset_manifest.tsv	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1			direct_source_object_path_and_sha256_not_available_in_manuscript_evidence_v1
Arabidopsis thaliana_PRJNA605594	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	53461	36370	17091	0.31969098969342136	True	readable	exclude	False	orthogroup_coverage_below_60pct_or_unavailable;species_not_officially_matched;fewer_than_two_candidate_labels_with_100_cells	0	0	0	exclude	False	orthogroup_coverage_below_60pct_or_unavailable;species_not_officially_matched;fewer_than_two_candidate_labels_with_100_cells	0	0	0	exclude	False	orthogroup_coverage_below_60pct_or_unavailable;species_not_officially_matched;fewer_than_two_candidate_labels_with_100_cells	0	0	0	/data/datasets/Bioinformatics/audit_20260910/audit_datasets.csv;/workspace/projects/PhyloOpenCell/metadata/dataset_manifest.tsv	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1			direct_source_object_path_and_sha256_not_available_in_manuscript_evidence_v1
Arabidopsis thaliana_PRJNA613684	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	16324	11508	4816	0.2950257289879931	True	readable	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	candidate_include	True	passes_provisional_panel_gates	3	3	10879	exclude	False	fewer_than_two_candidate_labels_with_100_cells	1	1	629	/data/datasets/Bioinformatics/audit_20260910/audit_datasets.csv;/workspace/projects/PhyloOpenCell/metadata/dataset_manifest.tsv	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1			direct_source_object_path_and_sha256_not_available_in_manuscript_evidence_v1
Arabidopsis thaliana_PRJNA640389	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	110427	110427	0	0.0	True	readable	candidate_include	True	passes_provisional_panel_gates	5	5	54952	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	candidate_include	True	passes_provisional_panel_gates	2	2	10950	/data/datasets/Bioinformatics/audit_20260910/audit_datasets.csv;/workspace/projects/PhyloOpenCell/metadata/dataset_manifest.tsv	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1			direct_source_object_path_and_sha256_not_available_in_manuscript_evidence_v1
Arabidopsis thaliana_PRJNA648028	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	25398	0	25398	1.0	True	readable	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	/data/datasets/Bioinformatics/audit_20260910/audit_datasets.csv;/workspace/projects/PhyloOpenCell/metadata/dataset_manifest.tsv	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1			direct_source_object_path_and_sha256_not_available_in_manuscript_evidence_v1
Arabidopsis thaliana_PRJNA649267	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	10990	10990	0	0.0	True	readable	candidate_include	True	passes_provisional_panel_gates	5	5	5470	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	candidate_include	True	passes_provisional_panel_gates	2	2	1039	/data/datasets/Bioinformatics/audit_20260910/audit_datasets.csv;/workspace/projects/PhyloOpenCell/metadata/dataset_manifest.tsv	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1			direct_source_object_path_and_sha256_not_available_in_manuscript_evidence_v1
Arabidopsis thaliana_PRJNA659737	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	5710	5344	366	0.06409807355516638	True	readable	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	/data/datasets/Bioinformatics/audit_20260910/audit_datasets.csv;/workspace/projects/PhyloOpenCell/metadata/dataset_manifest.tsv	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1			direct_source_object_path_and_sha256_not_available_in_manuscript_evidence_v1
Arabidopsis thaliana_PRJNA664874	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	1274	672	602	0.4725274725274725	True	readable	exclude	False	fewer_than_two_candidate_labels_with_100_cells	4	0	277	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	/data/datasets/Bioinformatics/audit_20260910/audit_datasets.csv;/workspace/projects/PhyloOpenCell/metadata/dataset_manifest.tsv	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1			direct_source_object_path_and_sha256_not_available_in_manuscript_evidence_v1
Arabidopsis thaliana_PRJNA666436	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	18859	18859	0	0.0	True	readable	candidate_include	True	passes_provisional_panel_gates	6	6	6725	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	exclude	False	fewer_than_two_candidate_labels_with_100_cells	1	1	1214	/data/datasets/Bioinformatics/audit_20260910/audit_datasets.csv;/workspace/projects/PhyloOpenCell/metadata/dataset_manifest.tsv	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1			direct_source_object_path_and_sha256_not_available_in_manuscript_evidence_v1
Arabidopsis thaliana_PRJNA678377	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	5328	5328	0	0.0	True	readable	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	candidate_include	True	passes_provisional_panel_gates	4	3	4887	candidate_include	True	passes_provisional_panel_gates	2	2	441	/data/datasets/Bioinformatics/audit_20260910/audit_datasets.csv;/workspace/projects/PhyloOpenCell/metadata/dataset_manifest.tsv	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1			direct_source_object_path_and_sha256_not_available_in_manuscript_evidence_v1
Arabidopsis thaliana_PRJNA680241	Arabidopsis thaliana	lateral root	recorded	celltype_after	345	135	210	0.6086956521739131	True	readable	exclude	False	fewer_than_two_candidate_labels_with_100_cells	2	0	135	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	/data/datasets/Bioinformatics/audit_20260910/audit_datasets.csv;/workspace/projects/PhyloOpenCell/metadata/dataset_manifest.tsv	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1			direct_source_object_path_and_sha256_not_available_in_manuscript_evidence_v1
Arabidopsis thaliana_PRJNA703045	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	17586	6473	11113	0.6319231206641647	True	readable	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	candidate_include	True	passes_provisional_panel_gates	4	4	6473	exclude	False	fewer_than_two_candidate_labels_with_100_cells	1	1	2558	/data/datasets/Bioinformatics/audit_20260910/audit_datasets.csv;/workspace/projects/PhyloOpenCell/metadata/dataset_manifest.tsv	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1			direct_source_object_path_and_sha256_not_available_in_manuscript_evidence_v1
