record_id	validation_stage	source_table	species	cohort	contrast_id	panel	coarse_label	role	endpoint_status	eligibility	record_scope	replicate	record_type	comparator	estimand	mapped_orthogroups	positive_cells	negative_cells	auroc	auroc_lower_95	auroc_upper_95	average_precision	ap_lower_95	ap_upper_95	smd	smd_lower_95	smd_upper_95	empirical_p	positive_replicate_directions	required_positive_replicate_directions	single_gene_auroc	family_minus_single_auroc	estimate	lower_95	upper_95	interval_type	bootstrap_n	random_programs	random_auc_median	random_auc_q95	exclusion_reason	note	source_path	source_sha256	provenance_version	gap_flags
independent_validation_15	third_round_v3	figure2_independent_validation.tsv	wheat		wheat_root_xylem_v1	vascular	xylem_lineage	sensitivity_sparse_replicates	sensitivity_support_not_primary		replicate	wheat-root-2				16	135	1293	0.8575635186617399			0.5640962637075865			1.3515463106682366						0.5	0.35756351866173985											validation_summary.tsv;method_comparison_by_replicate.tsv	910467374a45b2391a45d5346e8b63f08b373253f3d1b934d1f0ccc100fbcd81;b12643f062ca4e7e68af4d725674c92cc44a99530f1b5a7e0f4f7a6c90ad7d77	independent_program_validation_v3	
independent_validation_16	third_round_v3	figure2_independent_validation.tsv	wheat		wheat_root_xylem_v1	vascular	xylem_lineage	sensitivity_sparse_replicates	sensitivity_support_not_primary		replicate	wheat-root-3				16	69	988	0.8649738895734319			0.5697561955801556			1.4581671832550955						0.5	0.3649738895734319											validation_summary.tsv;method_comparison_by_replicate.tsv	910467374a45b2391a45d5346e8b63f08b373253f3d1b934d1f0ccc100fbcd81;b12643f062ca4e7e68af4d725674c92cc44a99530f1b5a7e0f4f7a6c90ad7d77	independent_program_validation_v3	
prospective_xylem_01	prospective_v1_1	figure3_prospective_xylem.tsv	esa		gse268881_esa_xylem	vascular	xylem	primary	primary_pass	eligible	pooled					16	221	15160	0.894943826932031	0.871719867417233	0.917295126493869	0.401197035141741	0.34215889722433	0.462717727977985	1.5057045760467	1.36486066092544	1.67274111542847	0.00199600798403194								conditional_stratified_cell_bootstrap_percentile	2000						validation_summary.tsv;conditional_bootstrap_intervals.tsv	ddbf41e4f41ca573baab5f53a53116731b614001fe040794f77e9d97df499447;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1+uncertainty_v1	pooled_summary_record_not_replicate_level
prospective_xylem_02	prospective_v1_1	figure3_prospective_xylem.tsv	sir		gse268881_sir_xylem	vascular	xylem	primary	primary_pass	eligible	pooled					16	224	17675	0.925660486967064	0.901351062083249	0.949529952389372	0.676476238369659	0.619906600426385	0.733153531997	1.81901347279272	1.65984704875318	2.00812928527286	0.00199600798403194								conditional_stratified_cell_bootstrap_percentile	2000						validation_summary.tsv;conditional_bootstrap_intervals.tsv	ddbf41e4f41ca573baab5f53a53116731b614001fe040794f77e9d97df499447;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1+uncertainty_v1	pooled_summary_record_not_replicate_level
prospective_xylem_03	prospective_v1_1	figure3_prospective_xylem.tsv	esa		gse268881_esa_xylem	vascular	xylem	primary	primary_pass	eligible	replicate	R1					118	7615	0.877987246402618	0.84686053952391	0.907659712098111	0.295604439985078	0.21632750008507	0.380125518068508	1.36696202029369	1.20352292946628	1.57485049851352									conditional_stratified_cell_bootstrap_percentile	2000						method_comparison_by_replicate.tsv;conditional_bootstrap_intervals.tsv	9bb6a7d91aafe6ec9af08ac4722e4111424b653c44443467524b0757b2c30a13;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1+uncertainty_v1	
prospective_xylem_04	prospective_v1_1	figure3_prospective_xylem.tsv	esa		gse268881_esa_xylem	vascular	xylem	primary	primary_pass	eligible	replicate	R2					103	7545	0.919370508341536	0.88188836238234	0.951745160107317	0.523768301288762	0.429164661061938	0.611075166557099	1.76894358038013	1.53714030581394	2.06114320054559									conditional_stratified_cell_bootstrap_percentile	2000						method_comparison_by_replicate.tsv;conditional_bootstrap_intervals.tsv	9bb6a7d91aafe6ec9af08ac4722e4111424b653c44443467524b0757b2c30a13;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1+uncertainty_v1	
prospective_xylem_05	prospective_v1_1	figure3_prospective_xylem.tsv	sir		gse268881_sir_xylem	vascular	xylem	primary	primary_pass	eligible	replicate	R1					106	9694	0.914855911651245	0.873527281512392	0.950122182170648	0.616376003697104	0.52429914967669	0.703200437736622	1.62558103512988	1.41292658428869	1.87748162319489									conditional_stratified_cell_bootstrap_percentile	2000						method_comparison_by_replicate.tsv;conditional_bootstrap_intervals.tsv	9bb6a7d91aafe6ec9af08ac4722e4111424b653c44443467524b0757b2c30a13;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1+uncertainty_v1	
prospective_xylem_06	prospective_v1_1	figure3_prospective_xylem.tsv	sir		gse268881_sir_xylem	vascular	xylem	primary	primary_pass	eligible	replicate	R2					118	7981	0.936525625479157	0.904762064670542	0.964878025989692	0.741845163332945	0.670272807307926	0.812289596684045	2.02696052199159	1.79396187006424	2.32212997677057									conditional_stratified_cell_bootstrap_percentile	2000						method_comparison_by_replicate.tsv;conditional_bootstrap_intervals.tsv	9bb6a7d91aafe6ec9af08ac4722e4111424b653c44443467524b0757b2c30a13;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1+uncertainty_v1	
prospective_xylem_07	prospective_v1_1	figure3_prospective_xylem.tsv	spa		gse268881_spa_xylem	vascular	xylem	primary	excluded_before_scoring	ineligible	replicate	R1					57	6225																							R1 has 57 xylem cells, below frozen minimum 100; pooling or relabelling prohibited		gse268881_three_species_expression_blind_eligibility_v1.md	8b49a4a66098cae5cbadbf065c5d214591165f20e400ab60777b3570c9b60ab6	gse268881_expression_blind_eligibility_v1	metrics_intentionally_blank_endpoint_excluded_before_scoring
prospective_xylem_08	prospective_v1_1	figure3_prospective_xylem.tsv	spa		gse268881_spa_xylem	vascular	xylem	primary	excluded_before_scoring	ineligible	replicate	R2					107	6238																							R1 has 57 xylem cells, below frozen minimum 100; pooling or relabelling prohibited		gse268881_three_species_expression_blind_eligibility_v1.md	8b49a4a66098cae5cbadbf065c5d214591165f20e400ab60777b3570c9b60ab6	gse268881_expression_blind_eligibility_v1	metrics_intentionally_blank_endpoint_excluded_before_scoring
control_comparator_01	prospective_controls_v1_1	figure4_controls_comparators.tsv	esa		gse268881_esa_xylem	vascular	xylem				pooled		method	mapped_member_program		16	221	15160	0.894943826932031	0.871719867417233	0.917295126493869	0.401197035141741			1.5057045760467											conditional_stratified_cell_bootstrap_percentile							method_comparison_pooled.tsv;conditional_bootstrap_intervals.tsv	5ab3b0877252d7f439f90c58072d52ae0e607a9d68b99d2e8a29c83791c92fb9;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1	pooled_summary_record_not_replicate_level
control_comparator_02	prospective_controls_v1_1	figure4_controls_comparators.tsv	esa		gse268881_esa_xylem	vascular	xylem				pooled		method	single_gene		16	221	15160	0.858878150407717	0.828494456565862	0.889305888023974	0.422559123255399			1.39248599693189											conditional_stratified_cell_bootstrap_percentile							method_comparison_pooled.tsv;conditional_bootstrap_intervals.tsv	5ab3b0877252d7f439f90c58072d52ae0e607a9d68b99d2e8a29c83791c92fb9;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1	pooled_summary_record_not_replicate_level
control_comparator_03	prospective_controls_v1_1	figure4_controls_comparators.tsv	esa		gse268881_esa_xylem	vascular	xylem				pooled		method	anti_circular		11	221	15160	0.889033268066715			0.367884011503026			1.49883986604245																		method_comparison_pooled.tsv;conditional_bootstrap_intervals.tsv	5ab3b0877252d7f439f90c58072d52ae0e607a9d68b99d2e8a29c83791c92fb9;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1	pooled_summary_record_not_replicate_level
control_comparator_04	prospective_controls_v1_1	figure4_controls_comparators.tsv	esa		gse268881_esa_xylem	vascular	xylem				pooled		method	phloem_off_target		10	221	15160	0.4914179371769			0.012895162954401			-0.10287478831583																		method_comparison_pooled.tsv;conditional_bootstrap_intervals.tsv	5ab3b0877252d7f439f90c58072d52ae0e607a9d68b99d2e8a29c83791c92fb9;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1	pooled_summary_record_not_replicate_level
control_comparator_05	prospective_controls_v1_1	figure4_controls_comparators.tsv	esa		gse268881_esa_xylem	vascular	xylem				pooled		method	equal_weight		16	221	15160	0.897230745352738			0.472350313723494			1.69332506594161																		method_comparison_pooled.tsv;conditional_bootstrap_intervals.tsv	5ab3b0877252d7f439f90c58072d52ae0e607a9d68b99d2e8a29c83791c92fb9;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1	pooled_summary_record_not_replicate_level
control_comparator_06	prospective_controls_v1_1	figure4_controls_comparators.tsv	sir		gse268881_sir_xylem	vascular	xylem				pooled		method	mapped_member_program		16	224	17675	0.925660486967064	0.901351062083249	0.949529952389372	0.676476238369659			1.81901347279272											conditional_stratified_cell_bootstrap_percentile							method_comparison_pooled.tsv;conditional_bootstrap_intervals.tsv	5ab3b0877252d7f439f90c58072d52ae0e607a9d68b99d2e8a29c83791c92fb9;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1	pooled_summary_record_not_replicate_level
control_comparator_07	prospective_controls_v1_1	figure4_controls_comparators.tsv	sir		gse268881_sir_xylem	vascular	xylem				pooled		method	single_gene		15	224	17675	0.931443978581532	0.908737516417458	0.953473031167913	0.719275879660655			1.77551947336879											conditional_stratified_cell_bootstrap_percentile							method_comparison_pooled.tsv;conditional_bootstrap_intervals.tsv	5ab3b0877252d7f439f90c58072d52ae0e607a9d68b99d2e8a29c83791c92fb9;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1	pooled_summary_record_not_replicate_level
control_comparator_08	prospective_controls_v1_1	figure4_controls_comparators.tsv	sir		gse268881_sir_xylem	vascular	xylem				pooled		method	anti_circular		11	224	17675	0.919838603758335			0.639579370238789			1.79577772673638																		method_comparison_pooled.tsv;conditional_bootstrap_intervals.tsv	5ab3b0877252d7f439f90c58072d52ae0e607a9d68b99d2e8a29c83791c92fb9;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1	pooled_summary_record_not_replicate_level
control_comparator_09	prospective_controls_v1_1	figure4_controls_comparators.tsv	sir		gse268881_sir_xylem	vascular	xylem				pooled		method	phloem_off_target		10	224	17675	0.436108304708022			0.0100933717665831			-0.249647917435997																		method_comparison_pooled.tsv;conditional_bootstrap_intervals.tsv	5ab3b0877252d7f439f90c58072d52ae0e607a9d68b99d2e8a29c83791c92fb9;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1	pooled_summary_record_not_replicate_level
control_comparator_10	prospective_controls_v1_1	figure4_controls_comparators.tsv	sir		gse268881_sir_xylem	vascular	xylem				pooled		method	equal_weight		16	224	17675	0.924592089310972			0.68304657630282			2.01563503122077																		method_comparison_pooled.tsv;conditional_bootstrap_intervals.tsv	5ab3b0877252d7f439f90c58072d52ae0e607a9d68b99d2e8a29c83791c92fb9;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1	pooled_summary_record_not_replicate_level
control_comparator_11	prospective_controls_v1_1	figure4_controls_comparators.tsv	esa		gse268881_esa_xylem	vascular	xylem				R1	R1	method	mapped_member_program			118	7615	0.877987246402618	0.84686053952391	0.907659712098111	0.295604439985078			1.36696202029369											conditional_stratified_cell_bootstrap_percentile							method_comparison_by_replicate.tsv;conditional_bootstrap_intervals.tsv	9bb6a7d91aafe6ec9af08ac4722e4111424b653c44443467524b0757b2c30a13;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1	
